name,name_norm,mv_eur,dob,contract,sub_position,club
Chris Martin,chris martin,300000,1988-11-04,2023-12-31,Centre-Forward,Norwich City
Aleksandar Kolarov,aleksandar kolarov,500000,1985-11-10,,Left-Back,Inter Milan
Nikola Djurdjic,nikola djurdjic,100000,1986-04-01,2023-12-31,Centre-Forward,Randers FC
Milan Perendija,milan perendija,100000,1986-01-05,,Centre-Back,Mordovia Saransk (-2020)
Mathias Fetsch,mathias fetsch,175000,1988-09-30,2024-06-30,Centre-Forward,FC Augsburg
Zoran Tosic,zoran tosic,100000,1987-04-28,,Right Winger,PAS Lamia 1964
Dalibor Veselinovic,dalibor veselinovic,100000,1987-09-21,,Centre-Forward,KV Mechelen
Edin Cocalic,edin cocalic,50000,1987-12-05,2023-05-31,Centre-Back,Panetolikos Agrinio
Javi Guerra,javi guerra,200000,1982-03-15,,Centre-Forward,Rayo Vallecano
Pablo Hernández,pablo hernandez,100000,1985-04-11,2024-06-30,Attacking Midfield,Leeds United
Manolis Moniakis,manolis moniakis,150000,1988-11-09,,Left-Back,Athlitiki Enosi Larisas
Ibrahim Sehic,ibrahim sehic,1200000,1988-09-02,2026-06-30,Goalkeeper,Al-Khaleej Club (Saihat)
Ilias Vouras,ilias vouras,250000,1988-02-20,,Goalkeeper,Athlitiki Enosi Konstantinoupoleos
Boubacar Dialiba,boubacar dialiba,75000,1988-07-13,,Left Winger,KV Mechelen
Semir Stilic,semir stilic,50000,1987-10-08,2024-05-31,Attacking Midfield,Gaziantepspor (- 2020)
Lovre Kalinic,lovre kalinic,1000000,1990-04-03,,Goalkeeper,HNK Hajduk Split
Ante Budimir,ante budimir,3000000,1991-07-22,2027-06-30,Centre-Forward,CA Osasuna
Duje Cop,duje cop,150000,1990-02-01,,Centre-Forward,HNK Rijeka
Hrvoje Milic,hrvoje milic,300000,1989-05-10,,Left-Back,SSC Napoli
Charlie Davies,charlie davies,400000,1986-06-25,,Centre-Forward,Randers FC
Jakob Johansson,jakob johansson,700000,1990-06-21,,Defensive Midfield,Stade Rennais FC
Mathias Ranégie,mathias ranegie,250000,1984-06-14,,Centre-Forward,Udinese Calcio
Ragnar Sigurdsson,ragnar sigurdsson,200000,1986-06-19,,Centre-Back,FC Copenhagen
Tomislav Barbaric,tomislav barbaric,200000,1989-03-29,,Centre-Back,KV Kortrijk
Eric Bicfalvi,eric bicfalvi,400000,1988-02-05,2025-06-30,Attacking Midfield,Ural Yekaterinburg
Kamil Glik,kamil glik,500000,1988-02-03,2027-06-30,Centre-Back,Cracovia
Nikola Gulan,nikola gulan,25000,1989-03-23,2023-06-30,Defensive Midfield,Royal Excel Mouscron (-2022)
Nat Wedderburn,nat wedderburn,100000,1991-06-30,2024-05-31,Defensive Midfield,Inverness Caledonian Thistle FC
Andrej Kramaric,andrej kramaric,3000000,1991-06-19,2028-06-30,Second Striker,TSG 1899 Hoffenheim
Scott Vernon,scott vernon,200000,1983-12-13,,Centre-Forward,Aberdeen FC
Gabriel Muresan,gabriel muresan,100000,1982-02-13,,Defensive Midfield,Tom Tomsk
Igor Smolnikov,igor smolnikov,400000,1988-08-08,,Right-Back,Torpedo Moscow
Bogdan Stancu,bogdan stancu,125000,1987-06-28,,Centre-Forward,Gençlerbirliği Spor Kulübü
Cristian Tanase,cristian tanase,200000,1987-02-18,,Left Midfield,Kardemir Karabükspor
Marko Blazic,marko blazic,10000,1985-08-02,2023-06-30,Central Midfield,PAS Lamia 1964
Nemanja Tubic,nemanja tubic,200000,1984-04-08,,Centre-Back,SKA Khabarovsk
Frédéric Frans,frederic frans,100000,1989-01-03,2023-06-30,Centre-Back,Beerschot VA
Idir Ouali,idir ouali,200000,1988-05-21,2023-06-30,Left Winger,Hatayspor
Nuno Coelho,nuno coelho,50000,1987-11-23,,Defensive Midfield,B SAD
Savvas Gentsoglou,savvas gentsoglou,200000,1990-09-19,2023-06-30,Defensive Midfield,PAS Lamia 1964
David Luiz,david luiz,500000,1987-04-22,2027-05-31,Centre-Back,Fortaleza Esporte Clube
Bakary Sako,bakary sako,75000,1988-04-26,2023-06-30,Left Winger,APO Levadiakos Football Club
Juan Pablo Pino,juan pablo pino,300000,1987-03-30,,Right Winger,SC Bastia
Leozinho,leozinho,150000,1985-12-12,,Attacking Midfield,Athlitiki Enosi Larisas
Modibo Maïga,modibo maiga,300000,1987-09-03,2023-06-30,Centre-Forward,West Ham United
Carlo Costly,carlo costly,475000,1982-07-18,,Centre-Forward,Gaziantepspor (- 2020)
Jagos Vukovic,jagos vukovic,200000,1988-06-10,,Centre-Back,Olympiakos Syndesmos Filathlon Peiraios
Mirkan Aydin,mirkan aydin,25000,1987-07-08,,Centre-Forward,Hatayspor
Mehmet Kara,mehmet kara,100000,1983-11-21,,Left Winger,Gençlerbirliği Spor Kulübü
Nikola Mikic,nikola mikic,50000,1985-09-13,,Centre-Back,AEL Kalloni
Josip Projic,josip projic,50000,1987-08-23,2023-06-30,Left-Back,APO Levadiakos Football Club
Teemu Pukki,teemu pukki,1500000,1990-03-29,2026-12-31,Centre-Forward,
Igor Stefanovic,igor stefanovic,25000,1988-04-12,2023-06-30,Goalkeeper,Moreirense FC
Aleksandr Dovbnya,aleksandr dovbnya,75000,1987-04-10,2027-06-30,Goalkeeper,FK Spartak Moskva
Agim Ibraimi,agim ibraimi,150000,1988-08-29,,Right Winger,Cagliari Calcio
Óscar Scarione,oscar scarione,100000,1985-07-14,,Attacking Midfield,MKE Ankaragücü
Milan Lukac,milan lukac,10000,1985-10-04,2023-06-30,Goalkeeper,Akhisarspor
Milan Bojovic,milan bojovic,100000,1987-04-13,,Centre-Forward,Panetolikos Agrinio
Filip Djordjevic,filip djordjevic,200000,1987-09-28,,Centre-Forward,Chievo Verona
Vladan Milosavljev,vladan milosavljev,100000,1987-02-01,2026-06-30,Left Winger,FK IMT Belgrad
Daniel Sturridge,daniel sturridge,200000,1989-09-01,,Centre-Forward,Trabzonspor
Nenad Tomovic,nenad tomovic,250000,1987-08-30,2027-06-30,Centre-Back,FK Cukaricki
Gigel Bucur,gigel bucur,50000,1980-04-08,,Left Winger,Kuban Krasnodar (-2018)
Silviu Izvoranu,silviu izvoranu,50000,1982-12-03,,Centre-Back,Volyn Lutsk
Iasmin Latovlevici,iasmin latovlevici,100000,1986-05-11,,Left-Back,Bursaspor
Gabriel Torje,gabriel torje,275000,1989-11-22,2023-06-30,Right Winger,Athlitiki Enosi Larisas
Emir Kujovic,emir kujovic,200000,1988-06-22,,Centre-Forward,Fortuna Düsseldorf
Artem Fidler,artem fidler,50000,1983-07-14,,Defensive Midfield,Ural Yekaterinburg
Ibrahima Traoré,ibrahima traore,600000,1988-04-21,,Right Winger,Borussia Mönchengladbach
Can Erdem,can erdem,75000,1987-06-08,,Centre-Forward,Mersin Talimyurdu SK
Emre Özkan,emre ozkan,10000,1988-12-24,2023-06-30,Centre-Back,Kardemir Karabükspor
Eyong Enoh,eyong enoh,150000,1986-03-23,,Defensive Midfield,Willem II Tilburg
Ivan Rodic,ivan rodic,50000,1985-11-11,,Left Winger,Metalist Kharkiv (- 2016)
Andrija Vukovic,andrija vukovic,25000,1983-08-03,,Goalkeeper,Balikesirspor
Petros Kaminiotis,petros kaminiotis,125000,1989-05-13,,Central Midfield,Aris Thessalonikis
Michalis Kripintiris,michalis kripintiris,100000,1981-03-08,,Centre-Back,AEL Kalloni
Andi Lila,andi lila,250000,1986-02-12,,Defensive Midfield,PAS Giannina
Ante Puljic,ante puljic,200000,1987-11-05,2023-06-30,Centre-Back,Tom Tomsk
Mato Jajalo,mato jajalo,250000,1988-05-25,2025-06-30,Defensive Midfield,Udinese Calcio
Elvis Kokalovic,elvis kokalovic,300000,1988-07-17,,Centre-Back,Kardemir Karabükspor
Marko Stanojevic,marko stanojevic,125000,1988-06-22,,Central Midfield,APO Levadiakos Football Club
Eren Derdiyok,eren derdiyok,100000,1988-06-12,2025-06-30,Centre-Forward,MKE Ankaragücü
Michel Morganella,michel morganella,25000,1989-05-17,,Right-Back,Palermo FC
Florin Costea,florin costea,10000,1985-05-16,,Left Winger,Arsenal Tula
Valerică Găman,valerica gaman,350000,1989-02-25,,Centre-Back,FC Hermannstadt
Tony Jantschke,tony jantschke,400000,1990-04-07,,Right-Back,Borussia Mönchengladbach
Fagner,fagner,900000,1989-06-11,2026-12-31,Right-Back,Cruzeiro Esporte Clube
Zlatan Alomerovic,zlatan alomerovic,450000,1991-06-15,2024-06-30,Goalkeeper,Borussia Dortmund
Sercan Yildirim,sercan yildirim,50000,1990-04-05,,Right Winger,Bursaspor
Goran Blazevic,goran blazevic,50000,1986-06-07,,Goalkeeper,Torpedo Moscow
Sandi Krizman,sandi krizman,100000,1989-08-17,,Centre-Forward,PAS Giannina
Marco Biagianti,marco biagianti,250000,1984-04-19,,Defensive Midfield,US Livorno 1915
Gorka Elustondo,gorka elustondo,400000,1987-03-18,,Central Midfield,Rayo Vallecano
Dani Estrada,dani estrada,100000,1987-01-03,,Right-Back,Real Sociedad
Rincón,rincon,100000,1987-05-31,,Centre-Back,ESTAC Troyes
Costel Pantilimon,costel pantilimon,250000,1987-02-01,,Goalkeeper,Denizlispor
Mamadou Sakho,mamadou sakho,800000,1990-02-13,,Centre-Back,Montpellier HSC
Casto,casto,50000,1982-06-18,,Goalkeeper,Real Betis Balompié
Kris Fillinger,kris fillinger,50000,1993-03-22,,Defensive Midfield,FC Twente Enschede
Thilo Leugers,thilo leugers,125000,1991-01-09,,Defensive Midfield,NAC Breda
Nils Röseler,nils roseler,300000,1992-02-10,2025-06-30,Centre-Back,VVV-Venlo
Theo Vogelsang,theo vogelsang,75000,1990-02-23,,Attacking Midfield,PEC Zwolle
Alex Pearce,alex pearce,50000,1988-11-09,2024-06-30,Centre-Back,Reading FC
Bjarni Vidarsson,bjarni vidarsson,75000,1988-03-05,,Central Midfield,Silkeborg IF
Paulus Arajuuri,paulus arajuuri,25000,1988-06-15,2024-12-31,Centre-Back,Bröndby IF
Sakari Mattila,sakari mattila,150000,1989-07-14,,Defensive Midfield,Sönderjyske Fodbold
Jukka Raitala,jukka raitala,150000,1988-09-15,2023-12-31,Left-Back,Aalborg BK
William Vainqueur,william vainqueur,400000,1988-11-19,,Defensive Midfield,FC Toulouse
Rafinha,rafinha,25000,1982-06-29,2023-12-31,Centre-Back,KAA Gent
Simon King,simon king,200000,1983-04-11,,Centre-Back,Inverness Caledonian Thistle FC
Jason Puncheon,jason puncheon,300000,1986-06-18,,Central Midfield,Huddersfield Town
Angelo Ogbonna,angelo ogbonna,700000,1988-05-23,2025-06-30,Centre-Back,West Ham United
Christian Puggioni,christian puggioni,50000,1981-01-17,,Goalkeeper,UC Sampdoria
Lukas Hradecky,lukas hradecky,1800000,1989-11-24,2027-06-30,Goalkeeper,AS Monaco
Riku Riski,riku riski,25000,1989-08-16,2024-12-31,Right Winger,Dundee United FC
Martin Pusic,martin pusic,225000,1987-10-24,,Centre-Forward,AC Horsens
Sammy Bossut,sammy bossut,100000,1985-08-11,,Goalkeeper,Zulte Waregem
Andy Carroll,andy carroll,300000,1989-01-06,2024-06-30,Centre-Forward,Newcastle United
Artem Dzyuba,artem dzyuba,2000000,1988-08-22,,Centre-Forward,Akron Togliatti
Sam Vokes,sam vokes,275000,1989-10-21,2024-06-30,Centre-Forward,Burnley FC
Christian Strohdiek,christian strohdiek,150000,1988-01-22,2023-06-30,Centre-Back,SC Paderborn 07
Danijel Aleksic,danijel aleksic,850000,1991-04-30,2027-06-30,Attacking Midfield,Konyaspor
Slobodan Medojevic,slobodan medojevic,400000,1990-10-20,2026-06-30,Defensive Midfield,FK Vojvodina Novi Sad
Nuno Pinto,nuno pinto,50000,1986-08-06,,Left-Back,Vitória Setúbal FC
Sam Foley,sam foley,75000,1986-10-17,2023-06-30,Central Midfield,St. Mirren FC
Matt Gilks,matt gilks,200000,1982-06-04,,Goalkeeper,Rangers FC
Matt Lockwood,matt lockwood,100000,1976-10-17,,Left-Back,Dundee FC
Krisztián Németh,krisztian nemeth,300000,1989-01-05,2024-06-30,Centre-Forward,Roda JC Kerkrade
Edinson Cavani,edinson cavani,2500000,1987-02-14,2026-12-31,Centre-Forward,Club Atlético Boca Juniors
Bolaño,bolano,50000,1985-10-15,,Centre-Back,UD Almería
Lars Stindl,lars stindl,1000000,1988-08-26,2024-06-30,Attacking Midfield,Borussia Mönchengladbach
Stephen Gleeson,stephen gleeson,200000,1988-08-03,2023-06-30,Central Midfield,Aberdeen FC
Karleigh Osborne,karleigh osborne,150000,1988-03-19,,Centre-Back,Kilmarnock FC
Zoumana Bakayogo,zoumana bakayogo,200000,1986-08-17,,Left-Back,Leicester City
Ivan Franjic,ivan franjic,300000,1987-09-10,,Right-Back,Torpedo Moscow
Jim O'Brien,jim o'brien,300000,1987-09-28,2023-06-30,Central Midfield,Ross County FC
Aleksandr Prudnikov,aleksandr prudnikov,200000,1989-02-26,,Centre-Forward,Anzhi Makhachkala ( -2022)
Evgeniy Balyajkin,evgeniy balyajkin,50000,1988-05-19,,Defensive Midfield,SKA Khabarovsk
Maksim Budnikov,maksim budnikov,150000,1983-05-31,,Right-Back,Mordovia Saransk (-2020)
Makhach Gadzhiev,makhach gadzhiev,1200000,1987-10-18,,Right Midfield,Amkar Perm
Pavel Golyshev,pavel golyshev,75000,1987-07-07,,Attacking Midfield,Tom Tomsk
Kazbek Geteriev,kazbek geteriev,75000,1985-06-30,,Defensive Midfield,Spartak Vladikavkaz (-2020)
Yaroslav Godzyur,yaroslav godzyur,75000,1985-03-06,,Goalkeeper,Ural Yekaterinburg
Niclas Heimann,niclas heimann,25000,1991-03-12,,Goalkeeper,VVV-Venlo
Aleksandr Belozerov,aleksandr belozerov,100000,1981-10-27,,Centre-Back,Ural Yekaterinburg
Roman Kontsedalov,roman kontsedalov,200000,1986-05-11,,Central Midfield,Kuban Krasnodar (-2018)
Aleksandr Shulenin,aleksandr shulenin,100000,1979-10-31,,Attacking Midfield,Volga Nizhniy Novgorod (- 2016)
Yuval Shpungin,yuval shpungin,75000,1987-04-03,,Right-Back,RAEC Mons (- 2015)
Yuriy Lebedev,yuriy lebedev,25000,1987-01-21,,Right-Back,Mordovia Saransk (-2020)
Sergey Narubin,sergey narubin,50000,1981-12-05,,Goalkeeper,FK Dinamo Moskva
Roman Shirokov,roman shirokov,1000000,1981-07-06,,Central Midfield,FK Spartak Moskva
Aleksandr Sukhov,aleksandr sukhov,25000,1986-01-03,2023-06-30,Right-Back,FK Ufa
Dmitriy Tarasov,dmitriy tarasov,200000,1987-03-18,,Defensive Midfield,FC Rubin Kazan
Renat Yanbaev,renat yanbaev,50000,1984-04-07,,Left-Back,FK Krasnodar
Dmitriy Belorukov,dmitriy belorukov,25000,1983-03-24,,Centre-Back,Anzhi Makhachkala ( -2022)
Rene Mihelic,rene mihelic,100000,1988-07-05,,Attacking Midfield,CD Nacional
Milos Stojcev,milos stojcev,25000,1987-01-19,2023-06-30,Attacking Midfield,AO Platanias
Fedor Kudryashov,fedor kudryashov,100000,1987-04-05,,Left-Back,Fakel Voronezh
Marius Alexe,marius alexe,100000,1990-02-22,,Centre-Forward,Kardemir Karabükspor
Diogo Cunha,diogo cunha,175000,1986-02-10,2023-06-30,Attacking Midfield,Moreirense FC
Mano,mano,50000,1987-04-09,,Right-Back,Vitória Setúbal FC
Gustavo Souza,gustavo souza,50000,1984-07-18,,Centre-Forward,GD Chaves
Roman Bugaev,roman bugaev,100000,1989-02-11,,Left-Back,Kuban Krasnodar (-2018)
Milos Ninkovic,milos ninkovic,250000,1984-12-25,2023-06-30,Attacking Midfield,Thonon Évian Grand Genève FC
Rui Sampaio,rui sampaio,75000,1987-05-29,2023-06-30,Central Midfield,FC Arouca
Anders Randrup,anders randrup,150000,1988-07-16,,Right-Back,FC Vestsjaelland
Jakob Ahlmann,jakob ahlmann,300000,1991-01-18,2024-06-30,Left-Back,Aalborg BK
Mads Albaek,mads albaek,100000,1990-01-14,2026-06-30,Central Midfield,Randers FC
Andriy Fedorenko,andriy fedorenko,50000,1984-01-09,,Goalkeeper,Chornomorets Odesa
Sune Kiilerich,sune kiilerich,50000,1990-12-18,,Centre-Back,Silkeborg IF
Simon Kjær,simon kjr,1500000,1989-03-26,,Centre-Back,AC Milan
Jesper Lauridsen,jesper lauridsen,250000,1991-03-27,2025-06-30,Left-Back,Randers FC
Michael Lumb,michael lumb,150000,1988-01-09,,Left-Back,Bröndby IF
Rasmus Christensen,rasmus christensen,150000,1991-08-12,2023-12-31,Left Midfield,Hobro IK
Jonas Lössl,jonas lossl,100000,1989-02-01,,Goalkeeper,FC Midtjylland
Marc Pedersen,marc pedersen,300000,1989-07-31,,Centre-Back,Sönderjyske Fodbold
Jens Rinke,jens rinke,100000,1990-04-16,,Goalkeeper,Sönderjyske Fodbold
Ade Runsewe,ade runsewe,100000,1989-12-01,,Right Winger,Silkeborg IF
Berat Sadik,berat sadik,200000,1986-09-14,2023-05-31,Centre-Forward,PFK Krylya Sovetov Samara
Erik Sviatchenko,erik sviatchenko,1500000,1991-10-04,2026-12-31,Centre-Back,Houston Dynamo
Pelé,pele,100000,1987-09-14,,Central Midfield,APO Levadiakos Football Club
Henrique Sereno,henrique sereno,300000,1985-05-18,,Centre-Back,1.FSV Mainz 05
Jordan Rhodes,jordan rhodes,300000,1990-02-05,2024-06-30,Centre-Forward,Middlesbrough FC
Owain Fôn Williams,owain fon williams,250000,1987-03-17,,Goalkeeper,Hamilton Academical FC
Luiz Adriano,luiz adriano,400000,1987-04-12,2023-12-31,Centre-Forward,Antalyaspor
Andrey Eshchenko,andrey eshchenko,50000,1984-02-09,,Right-Back,FK Spartak Moskva
Dmytro Gryshko,dmytro gryshko,100000,1985-12-02,,Centre-Back,Olimpik Donetsk
Igor Korotetskyi,igor korotetskyi,100000,1987-09-13,,Centre-Back,Metalurg Zaporizhya (-2016)
Vitaliy Mandzyuk,vitaliy mandzyuk,1000000,1986-01-24,,Right-Back,Dnipro Dnipropetrovsk (-2020)
Yevgen Past,yevgen past,100000,1988-03-16,,Goalkeeper,NK Veres Rivne
Oleksiy Polyanskyi,oleksiy polyanskyi,200000,1986-04-12,,Centre-Back,Metalist Kharkiv (- 2016)
Vitaliy Rudenko,vitaliy rudenko,500000,1981-01-26,,Goalkeeper,Metalurg Zaporizhya (-2016)
Sergiy Symonenko,sergiy symonenko,400000,1981-06-12,,Centre-Back,FK Sevastopol (- 2014)
Denys Vasin,denys vasin,25000,1989-03-04,,Right Winger,Ingulets Petrove
Ádám Vass,adam vass,100000,1988-09-09,,Defensive Midfield,KV Oostende
Richard Weil,richard weil,50000,1988-02-06,2023-06-30,Defensive Midfield,VfB Stuttgart
Mihail Aleksandrov,mihail aleksandrov,150000,1989-06-11,,Left Winger,Arsenal Tula
Chigozie Udoji,chigozie udoji,150000,1986-07-16,,Centre-Forward,AO Platanias
Sean Clohessy,sean clohessy,250000,1986-12-12,,Right-Back,Kilmarnock FC
Género Zeefuik,genero zeefuik,250000,1990-04-05,,Centre-Forward,FC Groningen
Danny Racchi,danny racchi,200000,1987-11-22,,Right Midfield,Kilmarnock FC
Gary Taylor-Fletcher,gary taylor-fletcher,500000,1981-06-04,,Right Winger,Leicester City
Erman Bulucu,erman bulucu,100000,1989-03-09,2024-06-30,Centre-Back,Gaziantepspor (- 2020)
Ken Fagerberg,ken fagerberg,25000,1989-01-09,,Centre-Forward,Viborg FF
Erik Friberg,erik friberg,150000,1986-02-10,,Defensive Midfield,Esbjerg fB
Erik Berg,erik berg,300000,1988-12-30,,Centre-Back,FC Copenhagen
Guido Burgstaller,guido burgstaller,1000000,1989-04-29,2024-06-30,Centre-Forward,FC Schalke 04
Maksim Grigorjev,maksim grigorjev,125000,1990-07-06,2023-06-30,Centre-Forward,Ural Yekaterinburg
Dawda Bah,dawda bah,25000,1983-11-12,,Left Winger,FC Augsburg
Albin Ekdal,albin ekdal,800000,1989-07-28,,Defensive Midfield,Djurgårdens Idrottsförening
Martin Mutumba,martin mutumba,75000,1985-06-15,,Left Winger,Caykur Rizespor
Mark Bunn,mark bunn,250000,1984-11-16,,Goalkeeper,Aston Villa
Bradley Johnson,bradley johnson,100000,1987-04-28,,Central Midfield,Norwich City
Mitchell Langerak,mitchell langerak,500000,1988-08-22,,Goalkeeper,Melbourne Victory
Adem Güven,adem guven,50000,1985-10-11,2023-12-31,Centre-Forward,Mersin Talimyurdu SK
James Perch,james perch,75000,1985-09-28,2024-06-30,Defensive Midfield,Newcastle United
Joe Cardle,joe cardle,150000,1987-02-07,2023-05-31,Left Winger,Ross County FC
Mikhail Bakaev,mikhail bakaev,25000,1987-08-05,2023-12-31,Defensive Midfield,FC Orenburg
Shamil Lakhiyalov,shamil lakhiyalov,400000,1979-10-28,,,PFK Krylya Sovetov Samara
Rasim Tagirbekov,rasim tagirbekov,1300000,1984-05-04,,Centre-Back,Anzhi Makhachkala ( -2022)
Mohammed Fellah,mohammed fellah,300000,1989-05-24,,Attacking Midfield,Odense Boldklub
Georginio Wijnaldum,georginio wijnaldum,6000000,1990-11-11,,Central Midfield,Al-Ettifaq Football Club
Roberto Rosales,roberto rosales,350000,1988-11-20,2026-12-31,Right-Back,
Elias Kachunga,elias kachunga,300000,1992-04-22,2023-06-30,Centre-Forward,Huddersfield Town
Francesco Bolzoni,francesco bolzoni,175000,1989-05-07,,Defensive Midfield,Palermo FC
Billy Sharp,billy sharp,200000,1986-02-05,2023-06-30,Centre-Forward,Sheffield United
Craig Curran,craig curran,50000,1989-08-23,2023-05-31,Centre-Forward,Dundee FC
Steve Davies,steve davies,250000,1987-12-29,,Centre-Forward,Hamilton Academical FC
Carl Tremarco,carl tremarco,200000,1985-10-11,,Left-Back,Ross County FC
Ali Gadzhibekov,ali gadzhibekov,100000,1989-08-06,,Centre-Back,Enisey Krasnoyarsk
Leroy George,leroy george,150000,1987-04-21,2024-06-30,Left Winger,NEC Nijmegen
Kevin van Diermen,kevin van diermen,100000,1989-07-03,,Centre-Back,Excelsior Rotterdam
Anthony Van Loo,anthony van loo,350000,1988-10-05,,Right-Back,KV Kortrijk
Semih Aydilek,semih aydilek,100000,1989-01-16,,Centre-Forward,Konyaspor
Rickie Lambert,rickie lambert,1500000,1982-02-16,,Centre-Forward,West Bromwich Albion
Rémi Maréval,remi mareval,325000,1983-02-24,,Left-Back,KAA Gent
Nikita Burmistrov,nikita burmistrov,100000,1989-07-06,2025-06-30,Right Winger,FK Sochi
Aykut Öztürk,aykut ozturk,10000,,,Centre-Forward,Sivasspor
Andreas Weimann,andreas weimann,2200000,1991-08-05,,Centre-Forward,Rapid Vienna
Vladimir Koman,vladimir koman,200000,1989-03-16,,Attacking Midfield,Adanaspor
Timothy Chandler,timothy chandler,350000,1990-03-29,2027-06-30,Right-Back,Eintracht Frankfurt
Sebastian Jung,sebastian jung,300000,1990-06-22,2023-06-30,Right-Back,VfL Wolfsburg
Serdar Kesimal,serdar kesimal,500000,1989-01-24,,Centre-Back,Akhisarspor
Jan Kirchhoff,jan kirchhoff,275000,1990-10-01,,Centre-Back,Sunderland AFC
Yannick Stark,yannick stark,125000,1990-10-28,2024-06-30,Defensive Midfield,SV Darmstadt 98
Dale Stephens,dale stephens,600000,1989-06-12,,Central Midfield,Burnley FC
Mario Baric,mario baric,250000,1985-04-15,,Right-Back,KAA Gent
Aleksandr Karapetyan,aleksandr karapetyan,50000,1987-12-23,,Centre-Forward,PFK Tambov (-2021)
Dejan Lekic,dejan lekic,50000,1985-06-07,,Centre-Forward,SD Eibar
Milan Mitrovic,milan mitrovic,100000,1988-07-02,,Centre-Back,FK Radnicki 1923 Kragujevac
Ivan Obradovic,ivan obradovic,200000,1988-07-25,,Left-Back,RSC Anderlecht
Jordan Lotiès,jordan loties,150000,1984-08-05,,Centre-Back,KAS Eupen
Michael Eneramo,michael eneramo,200000,1985-11-20,,Centre-Forward,Sivasspor
Hamdi Harbaoui,hamdi harbaoui,200000,1985-01-05,,Centre-Forward,Royal Excel Mouscron (-2022)
Lukas Schmitz,lukas schmitz,150000,1988-10-13,,Left-Back,VVV-Venlo
Djamel Bakar,djamel bakar,200000,1989-04-06,,Centre-Forward,Royal Charleroi Sporting Club
William,william,350000,1982-10-20,,Left-Back,FK Ufa
Borislav Jovanovic,borislav jovanovic,25000,1986-08-16,,Centre-Back,Athlitiki Enosi Larisas
Ivan Tomecak,ivan tomecak,250000,1989-12-07,2023-06-15,Right-Back,Club Brugge KV
Branko Vrgoc,branko vrgoc,150000,1989-12-18,2023-06-30,Centre-Back,Panetolikos Agrinio
Marcus Nilsson,marcus nilsson,400000,1988-02-26,,Centre-Back,FC Utrecht
Aaron Ramsey,aaron ramsey,2500000,1990-12-26,,Central Midfield,UNAM Pumas
Ronnie Reniers,ronnie reniers,200000,1987-11-08,,Right Winger,PEC Zwolle
Dean Bouzanis,dean bouzanis,250000,1990-10-02,2026-06-30,Goalkeeper,Brisbane Roar
Nikita Rukavytsya,nikita rukavytsya,150000,1987-06-22,,Centre-Forward,1.FSV Mainz 05
Vincent Bessat,vincent bessat,200000,1985-11-08,,Left-Back,SM Caen
Jonas,jonas,2000000,1984-04-01,,Second Striker,SL Benfica
Danny Rose,danny rose,500000,1990-07-02,,Left-Back,Watford FC
Jasmin Trtovac,jasmin trtovac,50000,1986-12-27,,Centre-Back,Erzurumspor FK
Stephan Hain,stephan hain,100000,1988-09-27,2023-09-30,Centre-Forward,FC Augsburg
Kosta Barbarouses,kosta barbarouses,500000,1990-02-19,,Centre-Forward,Western Sydney Wanderers
Christian Benteke,christian benteke,2500000,1990-12-03,2027-06-30,Centre-Forward,D.C. United
Eden Hazard,eden hazard,5000000,1991-01-07,,Left Winger,Real Madrid
Simon Mignolet,simon mignolet,1000000,1988-03-06,,Goalkeeper,Club Brugge KV
Jan Koprivec,jan koprivec,50000,1988-07-15,2023-05-31,Goalkeeper,Kilmarnock FC
Tim Matavz,tim matavz,300000,1989-01-13,2024-06-15,Centre-Forward,Vitesse Arnhem
Krsevan Santini,krsevan santini,50000,1987-04-11,2023-06-15,Goalkeeper,Zorya Lugansk
Fedor Smolov,fedor smolov,2000000,1990-02-09,,Centre-Forward,FK Krasnodar
Fabian Delph,fabian delph,1800000,1989-11-21,,Central Midfield,Everton FC
Igor Jovanovic,igor jovanovic,100000,1989-05-03,,Centre-Back,Panetolikos Agrinio
Etien Velikonja,etien velikonja,50000,1988-12-26,2023-06-30,Centre-Forward,Willem II Tilburg
Vladimir Volkov,vladimir volkov,50000,1986-06-06,,Left-Back,KV Mechelen
Deniz Kadah,deniz kadah,25000,1986-03-02,2024-06-30,Centre-Forward,Altay SK
Jan Hable,jan hable,300000,1989-01-04,,Central Midfield,AOK Kerkyra
Yohan Benalouane,yohan benalouane,125000,1987-03-28,2023-06-30,Centre-Back,Aris Thessalonikis
Jacob Berthelsen,jacob berthelsen,25000,1986-07-04,,Centre-Back,AC Horsens
Korcan Celikay,korcan celikay,25000,1987-12-31,,Goalkeeper,MKE Ankaragücü
Christian Santos,christian santos,200000,1988-03-24,2023-06-30,Centre-Forward,Deportivo Alavés
Cyril Hennion,cyril hennion,150000,1992-01-03,,Attacking Midfield,OGC Nice
Anthony Modeste,anthony modeste,700000,1988-04-14,,Centre-Forward,1.FC Köln
Dimitrios Konstantopoulos,dimitrios konstantopoulos,100000,1978-11-29,,Goalkeeper,Middlesbrough FC
Ezequiel Lavezzi,ezequiel lavezzi,2000000,1985-05-03,,Left Winger,Paris Saint-Germain
Pierre Bengtsson,pierre bengtsson,200000,1988-04-12,2023-12-31,Left-Back,FC Copenhagen
Janus Drachmann,janus drachmann,200000,1988-05-11,,Defensive Midfield,AC Horsens
Linus Hallenius,linus hallenius,125000,1989-04-01,2023-12-31,Centre-Forward,Genoa CFC
